"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Enhedspris","Enhedspris","Unit price","Stückpreis","Prix ​​unitaire","birim fiyatı","precio por unidad","prezzo unitario",
"@Entydig nummerkode..","Entydig nummerkode..","The unique number code ..","Die eindeutige Nummer Code ..","Le code de numéro unique ..","benzersiz bir numara kodu ..","El código de número único ..","Il codice di numero unico ..",
"@Entydig systemindex, som benyttes af systemet,","Entydig systemindex, som benyttes af systemet,","Unique index system that is used by the system,","Eindeutigen Indexsystem, das durch das System verwendet wird,","Système d'index unique qui est utilisé par le système,","sistem tarafından kullanılan benzersiz bir dizin sistemi,","sistema de índice único que se utiliza por el sistema,","sistema di indice univoco utilizzato dal sistema,",
"@Entydigt systemindex, som benyttes af systemet,","Entydigt systemindex, som benyttes af systemet,","Unique index system that is used by the system,","Eindeutigen Indexsystem, das durch das System verwendet wird,","Système d'index unique qui est utilisé par le système,","sistem tarafından kullanılan benzersiz bir dizin sistemi,","sistema de índice único que se utiliza por el sistema,","sistema di indice univoco utilizzato dal sistema,",
"@Entydigt varenummer","Entydigt varenummer","Unique Item","Einzigartig","unique Item","benzersiz Öğe","artículo único","Articolo unico",
"@Er Faktureret og låst","Er Faktureret og låst","Is Billed and locked","Ist Angekündigt und gesperrt","Est facturé et verrouillé","Faturalı ve kilitlenir","Se factura y bloqueado","Viene fatturato e bloccato",
"@Er både DB-MySql og PHP-mysqli installeret?","Er både DB-MySql og PHP-mysqli installeret?","Are both DB-MySql and PHP mysqli installed?","Sind beide DB-MySQL- und PHP mysqli installiert?","Sont à la fois DB-MySql et PHP mysqli installés?","DB MySql ve PHP yüklü MySQLi mı?","Mysqli están instalados tanto DB-MySQL y PHP?","Sono entrambi DB-MySQL e PHP MySQLi installati?",
"@Er både DB-postgres og PHP-pgsql installeret?","Er både DB-postgres og PHP-pgsql installeret?","Are both DB-postgres and PHP-pgsql installed?","Sind beide DB-Postgres und PHP-pgsql installiert?","Sont les deux DB-postgres et PHP-pgsql installés?","DB-postgres ve PHP-pgsql hem yüklü?","Se instalan ambos DB-postgres y PHP-pgsql?","Sono entrambi DB-postgres e PHP-pgsql installati?",
"@Er både MySql og php-mysqli installeret?","Er både MySql og php-mysqli installeret?","Are both MySql and php-mysqli installed?","Sind beide MySQL und PHP-mysqli installiert?","Sont à la fois MySql et php-mysqli installés?","MySQL ve PHP-mysqli hem yüklü?","Se instalan tanto MySQL y PHP-mysqli?","Sono sia MySQL e PHP-mysqli installati?",
"@Er både postgres og php-pgsql installeret?","Er både postgres og php-pgsql installeret?","Are both postgres and php-pgsql installed?","Sind beide Postgres und php-pgsql installiert?","Sont à la fois postgres et php-pgsql installés?","Yüklü hem postgres ve php-pgsql musunuz?","Son ambos postgres y php-pgsql instalados?","Le due postgres e php-pgsql installati?",
"@Er du helt sikker?","Er du helt sikker?","Are you completely sure?","Sind Sie absolut sicher?","Êtes-vous absolument sûr?","Kesinlikle emin misin?","¿Estás absolutamente seguro?","Sei assolutamente sicuro?",
"@Er feltet tomt eller udfyldt med F, betragtes det efterfølgende kontonummer som et Finans konto-nummer.","Er feltet tomt eller udfyldt med F, betragtes det efterfølgende kontonummer som et Finans konto-nummer.","The field is empty or filled with F, considered the following account number as a Financial account number.","Das Feld ist leer oder mit F gefüllt, als die folgende Kontonummer als Finanzkontonummer.","Le champ est vide ou rempli de F, considéré comme le numéro de compte suivant comme un numéro de compte financier.","alan boş veya F ile doldurulur, bir Mali hesap numarası olarak aşağıdaki hesap numarasını düşündü.","El campo está vacío o lleno de F, considerado el siguiente número de cuenta como un número de cuenta financiera.","Il campo è vuoto o pieno di F, considerato il seguente numero di conto come un numero di conto finanziario.",
"@Er velegnet til afstemning med bank- og girokonti","Er velegnet til afstemning med bank- og girokonti","Suitable for reconciliation with the bank and giro accounts","Geeignet für die Versöhnung mit den Bank- und Girokonten","Convient pour la réconciliation avec les comptes bancaires et postaux","Banka ve ciro hesapları ile uzlaşma için uygundur","Adecuado para la reconciliación con las cuentas bancarias y postales","Adatto per la riconciliazione con i conti bancari e postali",
"@Erhverv","Erhverv","profession","Beruf","profession","meslek","profesión","professione",
"@Euro","Euro","euro","Euro","euro","euro","euro","euro",
"@Exporter til csv-fil","Exporter til csv-fil","Export to CSV file","Export in CSV-Datei","Exporter vers un fichier CSV","CSV dosyasına İhracat","Exportar a archivo CSV","Esporta in file CSV",
"@FI Kreditornr.","FI Kreditornr.","FI creditor.","FI Gläubiger.","créancier FI.","FI alacaklı.","acreedor FI.","FI creditore.",
"@FILTER","FILTER","FILTER","FILTER","FILTER","FİLTRE","FILTRO","FILTRO",
"@FINANS","FINANS","FINANCIAL","FINANZ","FINANCIER","MALİ","FINANCIERA","FINANZIARIA",
"@Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.",
"@Faktura By","Faktura By","invoice City","Rechnung der Stadt","facture Ville","fatura Şehir","factura City","fattura Città",
"@Faktura Dato","Faktura Dato","invoice Date","Rechnungsdatum","date de la facture","fatura tarihi","Fecha de la factura","Data fattura",
"@Faktura Land","Faktura Land","invoice Country","Rechnung Land","facture Pays","fatura Ülke","factura País","fattura Paese",
"@Faktura Sted","Faktura Sted","invoice Place","Rechnung Platz","facture Lieu","fatura Yeri","Lugar factura","Luogo fattura",
"@Faktura adresse","Faktura adresse","invoice address","Rechnungsadresse","l'adresse de facturation","fatura adresi","dirección de facturación","indirizzo di fatturazione",
"@Faktura nr.","Faktura nr.","Invoice No.","Rechnung Nr","n ° de facture","Fatura No","Nº de factura","No. fattura",
"@Faktura nummer for periodens første faktura","Faktura nummer for periodens første faktura","Invoice number for the period's first invoice","Rechnungsnummer für die erste Rechnung Periode","Numéro de facture pour la première facture de la période","dönemin ilk fatura için fatura numarası","número de factura para la primera factura del periodo","numero di fattura per la prima fattura del periodo",
"@Faktura sum","Faktura sum","The invoice sum","Der Rechnungsbetrag","Le montant de la facture","fatura toplamı","El importe de la factura","La somma della fattura",
"@Faktura","Faktura","Invoice","Rechnung","facture","fatura","factura","fattura",
"@Faktura...","Faktura...","Invoice...","Rechnung ...","Facture ...","Fatura ...","Factura ...","Fattura ...",
"@Fakturanr","Fakturanr","invoice","Rechnung","facture","fatura","factura","fattura",
"@Fakturanr. benyttes i forbindelse med debitor- og kreditorposteringer.","Fakturanr. benyttes i forbindelse med debitor- og kreditorposteringer.","Invoice. used for customer and vendor transactions.","Rechnung. für Kunden- und Lieferantentransaktionen verwendet.","Facture. utilisé pour les transactions des clients et des fournisseurs.","Fatura. müşteri ve satıcı işlemleri için kullanılır.","Factura. utilizado para las transacciones de los clientes y proveedores.","Fattura. utilizzato per le transazioni clienti e fornitori.",
"@Fakturer og udskriv til den under {Betingelser}, valgte udskriver!","Fakturer og udskriv til den under {Betingelser}, valgte udskriver!","Invoice and print to it under {Conditions}, selected print!","Rechnung und drucken, um es unter {AGB}, ausgewählte Druck!","Facture et impression sous {Conditions}, impression sélectionnée!","{Koşullar} altında kendisine fatura ve baskı, seçilen baskı!","Factura y la impresión que le confiere {} Condiciones, impresión seleccionado!","Fattura e stampa ai sensi del {condizioni}, stampa selezionata!",
"@Faktureret","Faktureret","billed","in Rechnung gestellt","facturé","gagalı","facturado","fatturati",
"@Fakturerings dato","Fakturerings dato","billing date","Rechnungsdatum","date de facturation","fatura tarihi","fecha de facturación","data di fatturazione",
"@Faktureringssprog","Faktureringssprog","billing Language","Abrechnung Sprache","facturation Langue","fatura Dili","idioma de facturación","fatturazione Lingua",
"@Fakturér","Fakturér","Bill","Rechnung","projet de loi","fatura","proyecto de ley","fattura",
"@Farve","Farve","Colour","Farbe","couleur","renk","color","colore",
"@Farvekode","Farvekode","color Code","Farbcode","code de couleur","renk Ürün Kodu","código de colores","Codice del colore",
"@Farvenuance","Farvenuance","Color shade","Farbton","teinte","renk","matiz","colore",
"@Fastlæg 1. regnskabsår: 2016","Fastlæg 1. regnskabsår: 2016","Determine first year: 2016","Bestimmen Sie zuerst Jahr: 2016","Déterminer la première année: 2016","ilk yıl belirleyin: 2016","Determinar primer año: 2016","Determinare primo anno: 2016",
"@Fax","Fax","Fax","Fax","fax","faks","fax","fax",
"@Fed","Fed","Fat","Fed","Fed","federasyon","Fed","federale",
"@Fejl: ","Fejl: ","Error ","Fehler: ","erreur: ","hata: ","error: ","Errore: ",
"@Felt højde målt i mm","Felt højde målt i mm","Field height measured in mm","Feldhöhe gemessen in mm","Hauteur du champ mesurée en mm","Alan yüksekliği mm ölçülen","Altura del campo mide en milímetros","Altezza del campo misurata in mm",
"@Feltets tekst og/eller $Variabler kombineret","Feltets tekst og/eller $Variabler kombineret","Field text and / or $ Variables combined","Feld Text und / oder $ Variablen kombiniert","Champ de texte et / ou $ Variables combinées","Saha metin ve / veya $ Değişkenler kombine","Campo de texto y / o variables $ combinaron","Campo di testo e / o $ variabili combinate",
"@Feltets x-placering målt i mm fra venstre side-kant","Feltets x-placering målt i mm fra venstre side-kant","The field's x-position measured in millimeters from the left-hand edge","Die x-Position des Feldes in Millimetern von der linken Kante gemessen","x position du champ mesuré en millimètres à partir du bord gauche","sol kenarından milimetre cinsinden ölçülür alanın x pozisyonu","x-posición del campo medido en milímetros desde el borde izquierdo","x-La posizione del campo misurata in millimetri dal bordo sinistro",
"@Feltets y-placering målt i mm fra side-bund","Feltets y-placering målt i mm fra side-bund","The field's y-position, measured in mm from the bottom side","Feld der y-Position, gemessen in mm von der Unterseite","la position y du champ, mesurée en mm de la face inférieure","alt tarafından mm ölçülen alan Y-konumunda,","y la posición para del campo, medida en mm desde el lado inferior","posizione y del campo, misurata in mm dal lato inferiore",
"@Feltnavn","Feltnavn","field Name","Feld Name","champ Nom","alan Adı","Nombre de campo","campo Nome",
"@Fil i pdf-format","Fil i pdf-format","File in pdf format","Datei im PDF-Format","Fichier en format pdf","pdf formatında dosya","Archivo en formato PDF","File in formato pdf",
"@Fil import","Fil import","file import","Datei-Import","importation de fichiers","dosya alma","importación de archivos","importazione di file",
"@Fil upload: Logo, Grafik, Billeder eller fodg-fil fra Libre Office","Fil upload: Logo, Grafik, Billeder eller fodg-fil fra Libre Office","File upload: Logo, Graphics, Pictures or ped-file from LibreOffice","Datei-Upload: Logo, Grafiken, Bilder oder ped-Datei von Libreoffice","téléchargement du fichier: Logo, graphiques, images ou ped-fichier à partir de LibreOffice","LibreOffice dan Logo, Grafik, Resim veya ped-file: Dosya yükleme","La carga de archivos: logotipo, gráficos, imágenes o ped-archivo desde LibreOffice","upload di file: logo, grafica, immagini o ped-file da LibreOffice",
"@Filnavn på grafik-fil","Filnavn på grafik-fil","File name of the graphics file","Der Dateiname der Grafikdatei","Nom du fichier du fichier graphique","Grafik dosyasının dosya adı","Nombre de archivo del archivo de gráficos","Il nome del file del file grafico",
"@Filnavn","Filnavn","Filename","Dateiname","Nom du fichier","Dosya adı","nombre de archivo","Nome del file",
"@Filtype","Filtype","File Type","Dateityp","Type de fichier","dosya Türü","Tipo de archivo","Tipo di file",
"@Filtype...","Filtype...","File Type ...","Dateityp ...","Type de fichier ...","Dosya Türü ...","Tipo de archivo ...","Tipo di file ...",
"@Finansrapport","Finansrapport","Financial Report","Finanzbericht","Rapport financier","finansal Raporu","Informe financiero","Rapporto finanziario",
"@Finansrapport:","Finansrapport:","Financial report:","Finanzbericht:","Rapport financier:","Mali Rapor:","Informe financiero:","Relazione finanziaria:",
"@Finder åbne poster, som modsvarer beløb og fakturanummer","Finder åbne poster, som modsvarer beløb og fakturanummer","Finder open items that correspond to the amount and invoice number","Finder offene Posten, die den Betrag und Rechnungsnummer entsprechen","Finder open articles qui correspondent à la quantité et le numéro de facture","miktarı ve fatura numarasına karşılık gelen Bulucu açık öğeler","Buscador abierta elementos que corresponden a la cantidad y el número de factura","Finder aprire gli elementi che corrispondono al numero di quantità e la fattura",
"@Firm...","Firm...","Firm ...","Firm ...","Firm ...","Firma ...","Firma ...","Studio ...",
"@Firma navn","Firma navn","Company name","Firmenname","Nom de l'entreprise","Şirket adı","nombre de compañía","nome azienda",
"@Firmaets Mail-adresse","Firmaets Mail-adresse","Company Mail Address","Unternehmen Adresse","Société Adresse email","Şirket Posta Adresi","Empresa Mail","Indirizzo di posta aziendale",
