"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Er både MySql og php-mysqli installeret?","Er både MySql og php-mysqli installeret?","Are both MySql and php-mysqli installed?","Sind beide MySQL und PHP-mysqli installiert?","Sont à la fois MySql et php-mysqli installés?","MySQL ve PHP-mysqli hem yüklü?","Są zarówno MySQL i PHP-mysqli zainstalowane?","Se instalan tanto MySQL y PHP-mysqli?","Sono sia MySQL e PHP-mysqli installati?"
"@Er både postgres og php-pgsql installeret?","Er både postgres og php-pgsql installeret?","Are both postgres and php-pgsql installed?","Sind beide Postgres und php-pgsql installiert?","Sont à la fois postgres et php-pgsql installés?","Yüklü hem postgres ve php-pgsql musunuz?","Są to zarówno PostgreSQL i PHP-pgsql zainstalowane?","Son ambos postgres y php-pgsql instalados?","Le due postgres e php-pgsql installati?"
"@Er du bruger af Googles online-systemer... !)","Er du bruger af Googles online-systemer... !)","Are you using Google's online systems ...)","Verwenden Sie die Google-Online-Systeme ...)","Utilisez-vous des systèmes en ligne de Google ...)","Google'ın çevrimiçi sistemlerini kullanıyorsanız ...)","Używasz systemy online Google ...)","¿Está utilizando sistemas en línea de Google ...)","Si sta utilizzando i sistemi online di Google ...)"
"@Er du helt sikker?","Er du helt sikker?","Are you completely sure?","Sind Sie absolut sicher?","Êtes-vous absolument sûr?","Kesinlikle emin misin?","Czy jesteś absolutnie pewien?","¿Estás absolutamente seguro?","Sei assolutamente sicuro?"
"@Er feltet tomt eller udfyldt med F, betragtes det efterfølgende kontonummer som et Finans konto-nummer.","Er feltet tomt eller udfyldt med F, betragtes det efterfølgende kontonummer som et Finans konto-nummer.","The field is empty or filled with F, considered the following account number as a Financial account number.","Das Feld ist leer oder mit F gefüllt, als die folgende Kontonummer als Finanzkontonummer.","Le champ est vide ou rempli de F, considéré comme le numéro de compte suivant comme un numéro de compte financier.","alan boş veya F ile doldurulur, bir Mali hesap numarası olarak aşağıdaki hesap numarasını düşündü.","Pole jest puste lub wypełnione F, uważany następujący numer konta jako numer rachunku finansowego.","El campo está vacío o lleno de F, considerado el siguiente número de cuenta como un número de cuenta financiera.","Il campo è vuoto o pieno di F, considerato il seguente numero di conto come un numero di conto finanziario."
"@Er velegnet til afstemning med bank- og girokonti","Er velegnet til afstemning med bank- og girokonti","Suitable for reconciliation with the bank and giro accounts","Geeignet für die Versöhnung mit den Bank- und Girokonten","Convient pour la réconciliation avec les comptes bancaires et postaux","Banka ve ciro hesapları ile uzlaşma için uygundur","Nadaje się do pojednania z rachunków bankowych i bezgotówkowych","Adecuado para la reconciliación con las cuentas bancarias y postales","Adatto per la riconciliazione con i conti bancari e postali"
"@Erh","Erh","Is H","erh","Erh","Erh","erh","erh","erh"
"@Erhverv","Erhverv","profession","Beruf","profession","meslek","zawód","profesión","professione"
"@Etage","Etage","Floor","Boden","étage","zemin","podłoga","piso","piano"
"@Euro","Euro","euro","Euro","euro","euro","euro","euro","euro"
"@Export - Import:","Export - Import:","Export - Import:","Export - Import:","Export - Import:","İhracat - İthalat:","Export - Import:","Exportación - Importación:","Export - Import:"
"@Exporter til csv-fil","Exporter til csv-fil","Export to CSV file","Export in CSV-Datei","Exporter vers un fichier CSV","CSV dosyasına İhracat","Eksport do pliku CSV","Exportar a archivo CSV","Esporta in file CSV"
"@Extra Felt","Extra Felt","Extra Field","Extra-Feld","Champ supplémentaire","ekstra Alan","Dodatkowe pole","El campo extra","campo Extra"
"@FI Kreditornr.","FI Kreditornr.","FI creditor.","FI Gläubiger.","créancier FI.","FI alacaklı.","FI wierzycielem.","acreedor FI.","FI creditore."
"@FILTER","FILTER","FILTER","FILTER","FILTER","FİLTRE","FILTR","FILTRO","FILTRO"
"@FINANS","FINANS","FINANCIAL","FINANZ","FINANCIER","MALİ","FINANSOWA","FINANCIERA","FINANZIARIA"
"@FINANS'; ","FINANS'; ","FINANCIAL ';","FINANZ ';","FINANCIER ';","'MALİ;","Finansowej "";","FINANCIERA ';","FINANZIARIA ';"
"@Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr.","Fakt.nr."
"@Faktura By","Faktura By","invoice City","Rechnung der Stadt","facture Ville","fatura Şehir","faktura Miasto","factura City","fattura Città"
"@Faktura Dato","Faktura Dato","invoice Date","Rechnungsdatum","date de la facture","fatura tarihi","Data faktury","Fecha de la factura","Data fattura"
"@Faktura Land","Faktura Land","invoice Country","Rechnung Land","facture Pays","fatura Ülke","faktura Kraj","factura País","fattura Paese"
"@Faktura Sted","Faktura Sted","invoice Place","Rechnung Platz","facture Lieu","fatura Yeri","faktura Place","Lugar factura","Luogo fattura"
"@Faktura adresse","Faktura adresse","invoice address","Rechnungsadresse","l'adresse de facturation","fatura adresi","adres na fakturze","dirección de facturación","indirizzo di fatturazione"
"@Faktura nr.","Faktura nr.","Invoice number.","Rechnung Nr","n ° de facture","Fatura No","nr faktury","Nº de factura","No. fattura"
"@Faktura nummer for periodens første faktura","Faktura nummer for periodens første faktura","Invoice number for the period's first invoice","Rechnungsnummer für die erste Rechnung Periode","Numéro de facture pour la première facture de la période","dönemin ilk fatura için fatura numarası","Numer faktury w pierwszej faktury tamtej epoki","número de factura para la primera factura del periodo","numero di fattura per la prima fattura del periodo"
"@Faktura sum","Faktura sum","The invoice sum","Der Rechnungsbetrag","Le montant de la facture","fatura toplamı","Suma faktury","El importe de la factura","La somma della fattura"
"@Faktura","Faktura","Invoice","Rechnung","facture","fatura","faktura","factura","fattura"
"@Faktura...","Faktura...","Invoice...","Rechnung ...","Facture ...","Fatura ...","Faktura ...","Factura ...","Fattura ..."
"@Fakturadato fra ""Nextfakt""-felt anvendes","Fakturadato fra ""Nextfakt""-felt anvendes","Invoice date from ""Nextfakt"" field used","Rechnungsdatum von ""Nextfakt"" Feld verwendet","Date de la facture de ""Nextfakt"" champ utilisé","""Nextfakt"" alanından Fatura tarihi kullanılan","Data faktury z pola ""Nextfakt"" używany","fecha de la factura del campo ""Nextfakt"" utilizado","data della fattura da campo ""Nextfakt"" usato"
"@Fakturaer kopieres til ny ordre og efterlades åbne.","Fakturaer kopieres til ny ordre og efterlades åbne.","Invoices are copied to the new order and left open.","Die Rechnungen werden auf den neuen Auftrag kopiert und offen gelassen.","Les factures sont copiés dans le nouvel ordre et à gauche ouvert.","Faturalar yeni düzene kopyalanabilir ve açık bırakılır.","Faktury są kopiowane do nowego porządku i pozostają otwarte.","Las facturas se copian en el nuevo orden y dejan abiertas.","Le fatture vengono copiati nel nuovo ordine e lasciate aperte."
"@Fakturaer kopieres til ny ordre, bogføres og udskrives.","Fakturaer kopieres til ny ordre, bogføres og udskrives.","Invoices are copied to the new order, posted and printed.","Die Rechnungen werden auf den neuen Auftrag kopiert, geschrieben und gedruckt.","Les factures sont copiés dans le nouvel ordre, affichés et imprimés.","Faturalar, yeni düzene kopyalanan gönderilmiş ve yazdırılır.","Faktury są kopiowane do nowego porządku, pisał i drukowane.","Las facturas se copian en el nuevo orden, publicados e impresos.","Le fatture vengono copiati al nuovo ordine, pubblicati e stampati."
"@Fakturaliste","Fakturaliste","invoice List","Rechnungsliste","Liste des factures","fatura listesi","Lista faktur","Lista de factura","Lista fattura"
"@Fakturanr","Fakturanr","Invoice number","Rechnung","facture","fatura","faktura","factura","fattura"
"@Fakturanr. benyttes i forbindelse med debitor- og kreditorposteringer.","Fakturanr. benyttes i forbindelse med debitor- og kreditorposteringer.","Invoice number. used for customer and vendor transactions.","Rechnung. für Kunden- und Lieferantentransaktionen verwendet.","Facture. utilisé pour les transactions des clients et des fournisseurs.","Fatura. müşteri ve satıcı işlemleri için kullanılır.","Faktura. wykorzystywane do transakcji klientów i dostawców.","Factura. utilizado para las transacciones de los clientes y proveedores.","Fattura. utilizzato per le transazioni clienti e fornitori."
"@Fakturer og udskriv til den under {Betingelser}, valgte udskriver!","Fakturer og udskriv til den under {Betingelser}, valgte udskriver!","Invoice and print to it under {Conditions}, selected print!","Rechnung und drucken, um es unter {AGB}, ausgewählte Druck!","Facture et impression sous {Conditions}, impression sélectionnée!","{Koşullar} altında kendisine fatura ve baskı, seçilen baskı!","Faktura i drukowanie jej na mocy Warunków {} wybrane do druku!","Factura y la impresión que le confiere {} Condiciones, impresión seleccionado!","Fattura e stampa ai sensi del {condizioni}, stampa selezionata!"
"@Faktureret","Faktureret","billed","in Rechnung gestellt","facturé","gagalı","rozliczane","facturado","fatturati"
"@Fakturerings dato","Fakturerings dato","billing date","Rechnungsdatum","date de facturation","fatura tarihi","data rozliczenia","fecha de facturación","data di fatturazione"
"@Faktureringssprog","Faktureringssprog","billing Language","Abrechnung Sprache","facturation Langue","fatura Dili","Język rozliczeniowy","idioma de facturación","fatturazione Lingua"
"@Fakturér","Fakturér","Bill","Rechnung","projet de loi","fatura","rachunek","proyecto de ley","fattura"
"@Farve","Farve","Colour","Farbe","couleur","renk","kolor","color","colore"
"@Farvekode","Farvekode","color Code","Farbcode","code de couleur","renk Ürün Kodu","Kod koloru","código de colores","Codice del colore"
"@Farvenuance","Farvenuance","Color shade","Farbton","teinte","renk","odcień","matiz","colore"
"@Fastlæg 1. regnskabsår: 2016","Fastlæg 1. regnskabsår: 2016","Determine first year: 2016","Bestimmen Sie zuerst Jahr: 2016","Déterminer la première année: 2016","ilk yıl belirleyin: 2016","Określ pierwszy rok: 2016","Determinar primer año: 2016","Determinare primo anno: 2016"
"@Fax","Fax","Fax","Fax","fax","faks","faks","fax","fax"
"@Feb","Feb","February","Februar","février","Şubat","luty","febrero","febbraio"
"@Fed","Fed","Fat","Fed","Fed","federasyon","nakarmiony","Fed","federale"
"@Fejl i opsætning af kontonummer for øredifferencer!","Fejl i opsætning af kontonummer for øredifferencer!","Error in setting up the account number for øredifferencer!","Fehler bei der Festlegung der Kontonummer für øredifferencer up!","Erreur dans la mise en place du numéro de compte pour øredifferencer!","øredifferencer için hesap numarasını kurma Hata!","Błąd w konfiguracji numer konta dla øredifferencer!","Error en la configuración del número de cuenta para øredifferencer!","Errore nella creazione del numero di conto per øredifferencer!"
"@Fejl ved overførsel til FTP - Dokument ikke gemt!","Fejl ved overførsel til FTP - Dokument ikke gemt!","Error transfer to FTP - Document not saved!","Fehlerübertragung auf FTP - Datei wurde nicht gespeichert!","Erreur transfert vers FTP - Document non enregistré!","FTP Hata transferi - Belgenin değil kaydedildi!","Błąd transferu do FTP - Dokument nie został zapisany!","Error de transferencia de FTP - El documento no se ha salvado!","errore di trasferimento FTP - Il documento non salvato!"
"@Fejl: ","Fejl: ","Error:","Fehler:","erreur:","hata:","błąd:","error:","Errore:"
"@Felt 1","Felt 1","field 1","Feld 1","champ 1","alan 1","pole 1","el campo 1","campo 1"
"@Felt 10","Felt 10","Block 10","Block 10","Bloc 10","Blok 10","blok 10","Bloque 10","blocco 10"
"@Felt 2","Felt 2","field 2","Feld 2","champ 2","alan 2","pole 2","campo 2","campo 2"
"@Felt 3","Felt 3","field 3","Feld 3","champ 3","alan 3","pole 3","campo 3","campo 3"
"@Felt 4","Felt 4","field 4","Feld 4","domaine 4","alan 4","pole 4","campo 4","campo 4"
"@Felt 5","Felt 5","field 5","Feld 5","champ 5","alan 5","pole 5","campo 5","campo 5"
"@Felt 6","Felt 6","field 6","Feld 6","domaine 6","alan 6","pole 6","campo 6","campo 6"
"@Felt 7","Felt 7","field 7","Feld 7","champ 7","alan 7","pole 7","campo 7","campo 7"
"@Felt 8","Felt 8","field 8","Feld 8","champ 8","alan 8","pole 8","campo 8","campo 8"
"@Felt 9","Felt 9","field 9","Feld 9","champ 9","alan 9","pole 9","campo 9","campo 9"
"@Felt højde målt i mm","Felt højde målt i mm","Field height measured in mm","Feldhöhe gemessen in mm","Hauteur du champ mesurée en mm","Alan yüksekliği mm ölçülen","Wysokość pola mierzona w milimetrach","Altura del campo mide en milímetros","Altezza del campo misurata in mm"
"@Feltets tekst og/eller $Variabler kombineret","Feltets tekst og/eller $Variabler kombineret","Field text and / or $ Variables combined","Feld Text und / oder $ Variablen kombiniert","Champ de texte et / ou $ Variables combinées","Saha metin ve / veya $ Değişkenler kombine","Pole tekstowe i / lub $ Zmienne połączeniu","Campo de texto y / o variables $ combinaron","Campo di testo e / o $ variabili combinate"
"@Feltets x-placering målt i mm fra venstre side-kant","Feltets x-placering målt i mm fra venstre side-kant","The field's x-position measured in millimeters from the left-hand edge","Die x-Position des Feldes in Millimetern von der linken Kante gemessen","x position du champ mesuré en millimètres à partir du bord gauche","sol kenarından milimetre cinsinden ölçülür alanın x pozisyonu","Pole jest x-pozycyjny mierzona w milimetrach od lewej krawędzi","x-posición del campo medido en milímetros desde el borde izquierdo","x-La posizione del campo misurata in millimetri dal bordo sinistro"
